travelCode,userCode,name,place,days,price,total,date,price_normalized
315,3,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2021-06-10,0.4180026125163283
322,3,Hotel Bd,Natal (Rn),1,242.88,242.88,2021-07-29,0.7223607647547797
325,3,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2021-08-19,0.4180026125163283
337,3,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2021-11-11,0.4180026125163283
338,3,Hotel Z,Aracaju (Se),3,208.04,624.12,2021-11-18,0.5844515694889759
347,3,Hotel Bp,Brasilia (Df),1,247.62,247.62,2022-01-20,0.7411233820211377
350,3,Hotel Bd,Natal (Rn),1,242.88,242.88,2022-02-10,0.7223607647547797
363,3,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2022-05-12,0.3115623639314412
369,3,Hotel Au,Recife (Pe),3,312.83,938.49,2022-06-23,0.9992479119661163
373,3,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2022-07-21,0.0
377,3,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2022-08-18,0.9999999999999999
382,3,Hotel K,Salvador (Bh),2,263.41,526.82,2022-09-22,0.8036258559949333
383,3,Hotel A,Florianopolis (Sc),2,313.02,626.04,2022-09-29,0.9999999999999999
385,3,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2022-10-13,0.0
387,3,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2022-10-27,0.3115623639314412
388,3,Hotel Bd,Natal (Rn),4,242.88,971.52,2022-11-03,0.7223607647547797
394,3,Hotel K,Salvador (Bh),4,263.41,1053.64,2022-12-15,0.8036258559949333
397,3,Hotel Au,Recife (Pe),4,312.83,1251.32,2023-01-05,0.9992479119661163
398,3,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2023-01-12,0.0
403,3,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2023-02-16,0.3115623639314412
404,3,Hotel Z,Aracaju (Se),1,208.04,208.04,2023-02-23,0.5844515694889759
406,3,Hotel Bd,Natal (Rn),2,242.88,485.76,2023-03-09,0.7223607647547797
408,3,Hotel K,Salvador (Bh),1,263.41,263.41,2023-03-23,0.8036258559949333
409,3,Hotel K,Salvador (Bh),3,263.41,790.23,2023-03-30,0.8036258559949333
410,3,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2023-04-06,0.0
412,3,Hotel A,Florianopolis (Sc),2,313.02,626.04,2023-04-20,0.9999999999999999
415,3,Hotel Cb,Rio De Janeiro (Rj),2,165.99,331.98,2023-05-11,0.4180026125163283
417,3,Hotel Bd,Natal (Rn),2,242.88,485.76,2023-05-25,0.7223607647547797
418,3,Hotel Au,Recife (Pe),1,312.83,312.83,2023-06-01,0.9992479119661163
419,3,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2023-06-08,0.0
424,3,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2023-07-13,0.4180026125163283
426,4,Hotel Au,Recife (Pe),2,312.83,625.66,2019-10-03,0.9992479119661163
431,4,Hotel Au,Recife (Pe),4,312.83,1251.32,2019-11-07,0.9992479119661163
432,4,Hotel Au,Recife (Pe),3,312.83,938.49,2019-11-14,0.9992479119661163
440,4,Hotel K,Salvador (Bh),3,263.41,790.23,2020-01-09,0.8036258559949333
442,4,Hotel Z,Aracaju (Se),2,208.04,416.08,2020-01-23,0.5844515694889759
445,4,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2020-02-13,0.4180026125163283
447,4,Hotel Af,Sao Paulo (Sp),2,139.1,278.2,2020-02-27,0.3115623639314412
450,4,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-03-19,0.0
452,4,Hotel A,Florianopolis (Sc),1,313.02,313.02,2020-04-02,0.9999999999999999
456,4,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2020-04-30,0.4180026125163283
457,4,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-05-07,0.0
468,4,Hotel Z,Aracaju (Se),1,208.04,208.04,2020-07-23,0.5844515694889759
473,4,Hotel Af,Sao Paulo (Sp),4,139.1,556.4,2020-08-27,0.3115623639314412
481,4,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2020-10-22,0.9999999999999999
486,4,Hotel Z,Aracaju (Se),4,208.04,832.16,2020-11-26,0.5844515694889759
490,4,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2020-12-24,0.4180026125163283
491,4,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2020-12-31,0.9999999999999999
494,4,Hotel Af,Sao Paulo (Sp),2,139.1,278.2,2021-01-21,0.3115623639314412
498,4,Hotel Cb,Rio De Janeiro (Rj),4,165.99,663.96,2021-02-18,0.4180026125163283
500,4,Hotel K,Salvador (Bh),2,263.41,526.82,2021-03-04,0.8036258559949333
501,4,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2021-03-11,0.4180026125163283
503,4,Hotel A,Florianopolis (Sc),2,313.02,626.04,2021-03-25,0.9999999999999999
505,4,Hotel A,Florianopolis (Sc),2,313.02,626.04,2021-04-08,0.9999999999999999
514,4,Hotel Au,Recife (Pe),3,312.83,938.49,2021-06-10,0.9992479119661163
517,4,Hotel Bd,Natal (Rn),4,242.88,971.52,2021-07-01,0.7223607647547797
529,4,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2021-09-23,0.3115623639314412
532,4,Hotel Cb,Rio De Janeiro (Rj),4,165.99,663.96,2021-10-14,0.4180026125163283
537,4,Hotel Au,Recife (Pe),3,312.83,938.49,2021-11-18,0.9992479119661163
541,4,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2021-12-16,0.4180026125163283
543,4,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2021-12-30,0.0
545,4,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2022-01-13,0.0
548,4,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2022-02-03,0.0
555,4,Hotel A,Florianopolis (Sc),1,313.02,313.02,2022-03-24,0.9999999999999999
556,4,Hotel K,Salvador (Bh),3,263.41,790.23,2022-03-31,0.8036258559949333
557,4,Hotel K,Salvador (Bh),1,263.41,263.41,2022-04-07,0.8036258559949333
559,4,Hotel K,Salvador (Bh),2,263.41,526.82,2022-04-21,0.8036258559949333
562,4,Hotel Bd,Natal (Rn),2,242.88,485.76,2022-05-12,0.7223607647547797
564,4,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2022-05-26,0.4180026125163283
565,4,Hotel Cb,Rio De Janeiro (Rj),2,165.99,331.98,2022-06-02,0.4180026125163283
574,4,Hotel Bp,Brasilia (Df),4,247.62,990.48,2022-08-04,0.7411233820211377
578,4,Hotel Z,Aracaju (Se),3,208.04,624.12,2022-09-01,0.5844515694889759
581,4,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2022-09-22,0.4180026125163283
582,4,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2022-09-29,0.3115623639314412
586,4,Hotel K,Salvador (Bh),2,263.41,526.82,2022-10-27,0.8036258559949333
587,4,Hotel K,Salvador (Bh),1,263.41,263.41,2022-11-03,0.8036258559949333
588,4,Hotel Bd,Natal (Rn),2,242.88,485.76,2022-11-10,0.7223607647547797
590,4,Hotel Au,Recife (Pe),2,312.83,625.66,2022-11-24,0.9992479119661163
591,4,Hotel Au,Recife (Pe),4,312.83,1251.32,2022-12-01,0.9992479119661163
596,4,Hotel Bp,Brasilia (Df),1,247.62,247.62,2023-01-05,0.7411233820211377
598,4,Hotel Bd,Natal (Rn),4,242.88,971.52,2023-01-19,0.7223607647547797
604,4,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2023-03-02,0.3115623639314412
605,4,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2023-03-09,0.9999999999999999
609,4,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2023-04-06,0.0
619,4,Hotel Cb,Rio De Janeiro (Rj),4,165.99,663.96,2023-06-15,0.4180026125163283
621,4,Hotel Bp,Brasilia (Df),4,247.62,990.48,2023-06-29,0.7411233820211377
623,4,Hotel Bd,Natal (Rn),4,242.88,971.52,2023-07-13,0.7223607647547797
624,5,Hotel K,Salvador (Bh),2,263.41,526.82,2019-09-26,0.8036258559949333
638,5,Hotel K,Salvador (Bh),1,263.41,263.41,2020-01-02,0.8036258559949333
643,5,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2020-02-06,0.3115623639314412
644,5,Hotel K,Salvador (Bh),1,263.41,263.41,2020-02-13,0.8036258559949333
646,5,Hotel K,Salvador (Bh),3,263.41,790.23,2020-02-27,0.8036258559949333
648,5,Hotel Cb,Rio De Janeiro (Rj),4,165.99,663.96,2020-03-12,0.4180026125163283
658,5,Hotel Bd,Natal (Rn),1,242.88,242.88,2020-05-21,0.7223607647547797
668,5,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2020-07-30,0.0
670,5,Hotel K,Salvador (Bh),3,263.41,790.23,2020-08-13,0.8036258559949333
676,5,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2020-09-24,0.9999999999999999
680,5,Hotel Af,Sao Paulo (Sp),2,139.1,278.2,2020-10-22,0.3115623639314412
683,5,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2020-11-12,0.3115623639314412
687,5,Hotel Z,Aracaju (Se),1,208.04,208.04,2020-12-10,0.5844515694889759
688,6,Hotel Bd,Natal (Rn),3,242.88,728.64,2019-09-26,0.7223607647547797
690,6,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2019-10-10,0.3115623639314412
695,6,Hotel A,Florianopolis (Sc),2,313.02,626.04,2019-11-14,0.9999999999999999
696,6,Hotel Cb,Rio De Janeiro (Rj),2,165.99,331.98,2019-11-21,0.4180026125163283
698,6,Hotel Au,Recife (Pe),1,312.83,312.83,2019-12-05,0.9992479119661163
699,6,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2019-12-12,0.0
701,6,Hotel Bp,Brasilia (Df),4,247.62,990.48,2019-12-26,0.7411233820211377
707,6,Hotel A,Florianopolis (Sc),2,313.02,626.04,2020-02-06,0.9999999999999999
711,6,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2020-03-05,0.3115623639314412
712,6,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2020-03-12,0.9999999999999999
718,6,Hotel K,Salvador (Bh),4,263.41,1053.64,2020-04-23,0.8036258559949333
719,6,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2020-04-30,0.3115623639314412
723,6,Hotel Bp,Brasilia (Df),2,247.62,495.24,2020-05-28,0.7411233820211377
739,6,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2020-09-17,0.3115623639314412
745,6,Hotel K,Salvador (Bh),1,263.41,263.41,2020-10-29,0.8036258559949333
746,6,Hotel Cb,Rio De Janeiro (Rj),4,165.99,663.96,2020-11-05,0.4180026125163283
747,6,Hotel Bd,Natal (Rn),4,242.88,971.52,2020-11-12,0.7223607647547797
749,6,Hotel A,Florianopolis (Sc),2,313.02,626.04,2020-11-26,0.9999999999999999
753,6,Hotel Bp,Brasilia (Df),2,247.62,495.24,2020-12-24,0.7411233820211377
754,6,Hotel Bd,Natal (Rn),2,242.88,485.76,2020-12-31,0.7223607647547797
755,6,Hotel K,Salvador (Bh),1,263.41,263.41,2021-01-07,0.8036258559949333
762,6,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2021-02-25,0.4180026125163283
767,6,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2021-04-01,0.3115623639314412
778,7,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2019-11-21,0.3115623639314412
787,7,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2020-01-23,0.0
788,7,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-01-30,0.0
793,7,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2020-03-05,0.4180026125163283
795,7,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-03-19,0.0
803,7,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2020-05-14,0.0
805,7,Hotel Z,Aracaju (Se),2,208.04,416.08,2020-05-28,0.5844515694889759
806,7,Hotel Au,Recife (Pe),3,312.83,938.49,2020-06-04,0.9992479119661163
808,7,Hotel Bd,Natal (Rn),3,242.88,728.64,2020-06-18,0.7223607647547797
809,7,Hotel Bp,Brasilia (Df),4,247.62,990.48,2020-06-25,0.7411233820211377
812,7,Hotel Bd,Natal (Rn),2,242.88,485.76,2020-07-16,0.7223607647547797
815,7,Hotel Au,Recife (Pe),3,312.83,938.49,2020-08-06,0.9992479119661163
817,7,Hotel Bd,Natal (Rn),2,242.88,485.76,2020-08-20,0.7223607647547797
819,7,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-09-03,0.0
823,8,Hotel K,Salvador (Bh),4,263.41,1053.64,2019-10-03,0.8036258559949333
826,8,Hotel A,Florianopolis (Sc),3,313.02,939.06,2019-10-24,0.9999999999999999
827,8,Hotel Au,Recife (Pe),4,312.83,1251.32,2019-10-31,0.9992479119661163
830,8,Hotel Bd,Natal (Rn),4,242.88,971.52,2019-11-21,0.7223607647547797
834,8,Hotel Bp,Brasilia (Df),2,247.62,495.24,2019-12-19,0.7411233820211377
836,8,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2020-01-02,0.3115623639314412
838,8,Hotel Bd,Natal (Rn),1,242.88,242.88,2020-01-16,0.7223607647547797
840,8,Hotel Z,Aracaju (Se),1,208.04,208.04,2020-01-30,0.5844515694889759
852,8,Hotel A,Florianopolis (Sc),1,313.02,313.02,2020-04-23,0.9999999999999999
857,8,Hotel Cb,Rio De Janeiro (Rj),2,165.99,331.98,2020-05-28,0.4180026125163283
861,8,Hotel Cb,Rio De Janeiro (Rj),2,165.99,331.98,2020-06-25,0.4180026125163283
862,8,Hotel Cb,Rio De Janeiro (Rj),1,165.99,165.99,2020-07-02,0.4180026125163283
864,8,Hotel Bp,Brasilia (Df),2,247.62,495.24,2020-07-16,0.7411233820211377
865,8,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2020-07-23,0.0
869,8,Hotel Bp,Brasilia (Df),4,247.62,990.48,2020-08-20,0.7411233820211377
871,8,Hotel Bd,Natal (Rn),4,242.88,971.52,2020-09-03,0.7223607647547797
892,8,Hotel A,Florianopolis (Sc),2,313.02,626.04,2021-01-28,0.9999999999999999
894,8,Hotel Bp,Brasilia (Df),3,247.62,742.86,2021-02-11,0.7411233820211377
900,8,Hotel Bd,Natal (Rn),2,242.88,485.76,2021-03-25,0.7223607647547797
904,8,Hotel Au,Recife (Pe),4,312.83,1251.32,2021-04-22,0.9992479119661163
907,8,Hotel Au,Recife (Pe),3,312.83,938.49,2021-05-13,0.9992479119661163
911,8,Hotel Bd,Natal (Rn),4,242.88,971.52,2021-06-10,0.7223607647547797
913,8,Hotel A,Florianopolis (Sc),1,313.02,313.02,2021-06-24,0.9999999999999999
914,8,Hotel Bd,Natal (Rn),3,242.88,728.64,2021-07-01,0.7223607647547797
917,8,Hotel Bd,Natal (Rn),3,242.88,728.64,2021-07-22,0.7223607647547797
919,8,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2021-08-05,0.0
920,8,Hotel Bd,Natal (Rn),4,242.88,971.52,2021-08-12,0.7223607647547797
922,8,Hotel Au,Recife (Pe),4,312.83,1251.32,2021-08-26,0.9992479119661163
923,8,Hotel A,Florianopolis (Sc),4,313.02,1252.08,2021-09-02,0.9999999999999999
925,8,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2021-09-16,0.0
928,8,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2021-10-07,0.0
932,8,Hotel K,Salvador (Bh),2,263.41,526.82,2021-11-04,0.8036258559949333
935,8,Hotel Bd,Natal (Rn),3,242.88,728.64,2021-11-25,0.7223607647547797
938,8,Hotel Af,Sao Paulo (Sp),3,139.1,417.3,2021-12-16,0.3115623639314412
942,8,Hotel Bw,Campo Grande (Ms),1,60.39,60.39,2022-01-13,0.0
944,8,Hotel Au,Recife (Pe),3,312.83,938.49,2022-01-27,0.9992479119661163
945,8,Hotel Bd,Natal (Rn),1,242.88,242.88,2022-02-03,0.7223607647547797
948,8,Hotel Bd,Natal (Rn),4,242.88,971.52,2022-02-24,0.7223607647547797
950,8,Hotel Af,Sao Paulo (Sp),4,139.1,556.4,2022-03-10,0.3115623639314412
957,8,Hotel Z,Aracaju (Se),4,208.04,832.16,2022-04-28,0.5844515694889759
958,8,Hotel Bd,Natal (Rn),2,242.88,485.76,2022-05-05,0.7223607647547797
962,8,Hotel Au,Recife (Pe),2,312.83,625.66,2022-06-02,0.9992479119661163
966,8,Hotel Z,Aracaju (Se),2,208.04,416.08,2022-06-30,0.5844515694889759
967,8,Hotel Cb,Rio De Janeiro (Rj),3,165.99,497.97,2022-07-07,0.4180026125163283
969,8,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2022-07-21,0.0
970,8,Hotel Af,Sao Paulo (Sp),1,139.1,139.1,2022-07-28,0.3115623639314412
972,8,Hotel Au,Recife (Pe),3,312.83,938.49,2022-08-11,0.9992479119661163
974,8,Hotel A,Florianopolis (Sc),1,313.02,313.02,2022-08-25,0.9999999999999999
977,8,Hotel Au,Recife (Pe),4,312.83,1251.32,2022-09-15,0.9992479119661163
984,8,Hotel Z,Aracaju (Se),4,208.04,832.16,2022-11-03,0.5844515694889759
987,8,Hotel Z,Aracaju (Se),1,208.04,208.04,2022-11-24,0.5844515694889759
988,8,Hotel K,Salvador (Bh),4,263.41,1053.64,2022-12-01,0.8036258559949333
997,9,Hotel Af,Sao Paulo (Sp),4,139.1,556.4,2019-09-26,0.3115623639314412
998,9,Hotel Bd,Natal (Rn),2,242.88,485.76,2019-10-03,0.7223607647547797
999,9,Hotel A,Florianopolis (Sc),3,313.02,939.06,2019-10-10,0.9999999999999999
1006,9,Hotel Au,Recife (Pe),2,312.83,625.66,2019-11-28,0.9992479119661163
1007,9,Hotel Z,Aracaju (Se),2,208.04,416.08,2019-12-05,0.5844515694889759
1012,9,Hotel Au,Recife (Pe),4,312.83,1251.32,2020-01-09,0.9992479119661163
1014,9,Hotel Bw,Campo Grande (Ms),3,60.39,181.17,2020-01-23,0.0
1016,9,Hotel K,Salvador (Bh),4,263.41,1053.64,2020-02-06,0.8036258559949333
1018,9,Hotel Bw,Campo Grande (Ms),2,60.39,120.78,2020-02-20,0.0
1025,9,Hotel K,Salvador (Bh),4,263.41,1053.64,2020-04-09,0.8036258559949333
1034,9,Hotel A,Florianopolis (Sc),2,313.02,626.04,2020-06-11,0.9999999999999999
1035,9,Hotel Bw,Campo Grande (Ms),4,60.39,241.56,2020-06-18,0.0
1038,9,Hotel Bp,Brasilia (Df),1,247.62,247.62,2020-07-09,0.7411233820211377
1041,9,Hotel Z,Aracaju (Se),4,208.04,832.16,2020-07-30,0.5844515694889759
1048,9,Hotel A,Florianopolis (Sc),3,313.02,939.06,2020-09-17,0.9999999999999999
